last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,b_rbi,r_total_stolen_base,b_game,b_hit_by_pitch,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_pct,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,sprint_speed,
Turner, Trea,607208,2021,28,595,646,195,130,34,3,28,110,41,17.0,6.3,.328,.536,.375,.911,77,32,148,6,107,25,7,,.303,.480,.386,.362,.354,.178,89.6,11.4,34.6,7.4,45.6,23.5,24.5,6.3,30.7,
Ramirez, Jose,608070,2021,29,552,636,147,74,32,5,36,87,72,13.7,11.3,.266,.538,.355,.893,103,27,152,7,111,22,5,,.281,.505,.372,.374,.371,.224,90,18.3,33.4,11.1,36.2,27,24,12.8,28.2,
Gallo, Joey,608336,2021,28,498,616,99,47,13,1,38,213,111,34.6,18.0,.199,.458,.351,.808,77,6,153,6,90,5,1,,.201,.460,.348,.352,.353,.259,91.5,22.7,29.4,18.5,36.4,35.7,15.7,12.2,27.4,
Swanson, Dansby,621020,2021,27,588,653,146,84,33,2,27,167,52,25.6,8.0,.248,.449,.311,.760,88,9,160,5,78,9,0,,.250,.453,.322,.331,.316,.203,89.3,14.1,36.8,11.4,40.1,28.9,24.5,6.5,28.4,
Newman, Kevin,621028,2021,28,517,554,117,87,22,3,5,41,27,7.4,4.9,.226,.309,.262,.571,39,6,148,1,50,6,0,,.255,.330,.249,.275,.293,.076,85.3,9.9,32,1.6,45.8,21.4,25.2,7.6,28.4,
Taylor, Chris,621035,2021,31,507,582,129,80,25,4,20,167,63,28.7,10.8,.254,.438,.344,.782,73,13,148,8,92,11,1,,.237,.421,.338,.328,.330,.184,88.2,17.4,38.1,10.2,36.9,32.3,24.7,6.1,28.8,
Correa, Carlos,621043,2021,27,555,640,155,94,34,1,26,116,75,18.1,11.7,.279,.485,.366,.850,92,0,148,4,104,0,0,,.296,.481,.364,.372,.380,.185,90.2,12.1,33.5,9.4,42.5,23.4,26.1,8.1,26.9,
Olson, Matt,621566,2021,27,565,673,153,79,35,0,39,113,88,16.8,13.1,.271,.540,.371,.911,111,4,156,9,101,4,0,,.264,.507,.379,.378,.374,.243,91.6,16.2,32.4,12.7,40.4,30.2,19.7,9.7,25.9,
Alonso, Pete,624413,2021,27,561,637,147,80,27,3,37,127,60,19.9,9.4,.262,.519,.344,.863,94,3,152,12,81,3,0,,.270,.539,.363,.376,.351,.269,91,14.7,34.5,14.8,39,30.8,22.8,7.3,26.0,
Frazier, Adam,624428,2021,30,577,639,176,130,36,5,5,69,48,10.8,7.5,.305,.411,.366,.777,43,10,155,10,83,8,2,,.287,.374,.341,.323,.352,.088,85.4,12.6,38.9,1,42.4,20.3,31.3,6.1,27.1,
Soler, Jorge,624585,2021,29,516,602,115,61,27,0,27,142,67,23.6,11.1,.223,.432,.312,.744,70,0,149,6,74,0,0,,.249,.492,.323,.358,.340,.243,91.2,15.7,30.9,12.7,41.4,29.6,20.1,8.7,26.9,
Cronenworth, Jake,630105,2021,27,567,643,151,90,33,7,21,90,55,14.0,8.6,.266,.460,.336,.796,71,4,152,10,94,4,0,,.280,.445,.341,.346,.354,.166,88.6,12.5,35.8,7.2,43.1,23.6,26.1,7.2,28.5,
Meadows, Austin,640457,2021,26,518,591,121,62,29,3,27,122,59,20.6,10.0,.234,.458,.315,.772,106,5,142,6,79,5,0,,.239,.422,.327,.325,.323,.183,89.3,21.7,36.1,8.7,28.7,36.9,23.8,10.6,27.5,
Anderson, Tim,641313,2021,28,527,551,163,115,29,2,17,119,22,21.6,4.0,.309,.469,.338,.806,61,18,123,1,94,16,2,,.280,.442,.345,.325,.310,.162,89.6,4.3,32.5,7.8,56,19.3,23,1.7,28.0,
Crawford, J.P.,641487,2021,26,619,687,169,123,37,0,9,114,58,16.6,8.4,.273,.376,.338,.714,54,3,160,5,89,3,0,,.256,.338,.314,.297,.324,.081,86.3,9.8,34.3,2.4,46.7,17.8,28.6,6.9,27.5,
Dozier, Hunter,641531,2021,30,487,543,105,56,27,6,16,154,43,28.4,7.9,.216,.394,.285,.680,54,5,144,7,55,5,0,,.224,.385,.293,.298,.295,.161,89.9,15.8,33,8.8,38.3,27.7,24.8,9.1,28.2,
Mancini III, Trey,641820,2021,29,556,616,142,87,33,1,21,143,51,23.2,8.3,.255,.432,.326,.758,71,0,147,8,77,0,0,,.266,.450,.326,.340,.336,.184,88.9,9.7,36,10.4,49,22.7,23.2,5.1,26.6,
McMahon, Ryan,641857,2021,27,528,596,134,78,32,1,23,147,59,24.7,9.9,.254,.449,.331,.779,86,6,151,4,80,6,0,,.242,.424,.334,.324,.322,.181,90.5,14.3,40.2,7.3,39.4,28,27.7,4.9,26.2,
O'Neill, Tyler,641933,2021,26,482,537,138,76,26,2,34,168,38,31.3,7.1,.286,.560,.352,.912,80,15,138,13,89,15,0,,.279,.581,.384,.391,.347,.302,93,17.8,39.9,17.9,36.2,31.4,24.8,7.5,29.7,
Rosario, Amed,642708,2021,26,550,588,155,113,25,6,11,120,31,20.4,5.3,.282,.409,.321,.731,57,13,141,3,77,13,0,,.265,.365,.315,.298,.308,.100,88.8,5.6,32,2.8,51.4,18.9,25.1,4.6,29.5,
Adames, Willy,642715,2021,26,497,555,130,72,32,1,25,156,57,28.1,10.3,.262,.481,.337,.818,73,5,140,0,77,5,0,,.236,.438,.349,.325,.314,.202,89.5,16.8,35.1,11.4,37.1,36,21.6,5.3,28.0,
Benintendi, Andrew,643217,2021,27,493,538,136,90,27,2,17,97,36,18.0,6.7,.276,.442,.323,.766,73,8,134,2,63,8,0,,.261,.456,.328,.331,.313,.194,89.6,15.4,38.5,8.9,39.5,34.5,21.8,4.2,27.6,
Kiner-Falefa, Isiah,643396,2021,26,635,677,172,136,25,3,8,90,28,13.3,4.1,.271,.357,.312,.669,53,20,158,11,74,17,3,,.267,.349,.293,.291,.309,.082,85.5,5.4,31.6,1.8,54.4,15.5,25.9,4.2,28.0,
Albies, Ozzie,645277,2021,24,629,686,163,86,40,7,30,128,47,18.7,6.9,.259,.488,.310,.799,106,20,156,3,103,20,0,,.259,.464,.336,.331,.311,.204,89.6,21.1,37,9.3,31.5,38,22.8,7.7,28.4,
Devers, Rafael,646240,2021,25,591,664,165,89,37,1,38,143,62,21.5,9.3,.279,.538,.352,.890,113,5,156,7,101,4,1,,.290,.560,.373,.391,.364,.270,92.9,13.1,35.2,15,42.3,26.3,23.9,7.5,26.8,
Urias, Luis,649966,2021,24,490,570,122,73,25,1,23,116,63,20.4,11.1,.249,.445,.342,.787,75,5,150,10,77,5,0,,.241,.427,.340,.333,.338,.186,87.9,14.2,34.9,9.3,41.8,26.2,21.2,10.8,26.5,
Torres, Gleyber,650402,2021,25,459,516,119,88,22,0,9,104,50,20.2,9.7,.259,.366,.329,.695,51,14,127,1,50,11,3,,.264,.422,.307,.330,.335,.158,87.1,14.2,37.1,7.8,41.8,26.3,25.8,6.1,27.0,
Diaz, Yandy,650490,2021,30,465,541,119,85,20,1,13,85,69,15.7,12.8,.256,.387,.353,.740,64,1,134,3,62,1,0,,.253,.395,.325,.331,.353,.142,89.9,6.6,28.9,7,52.1,22.7,19.5,5.7,26.5,
Chapman, Matt,656305,2021,28,529,622,111,66,15,3,27,202,80,32.5,12.9,.210,.403,.314,.716,72,3,151,4,75,3,0,,.209,.422,.311,.320,.314,.213,89.7,18.6,32.1,13.7,33.6,37.8,18.8,9.8,28.1,
Mullins II, Cedric,656775,2021,27,602,675,175,103,37,5,30,125,59,18.5,8.7,.291,.518,.359,.877,59,30,159,8,91,25,4,,.272,.447,.372,.344,.344,.175,89.4,14.8,35.7,8.1,40.7,27.8,23.9,7.7,28.5,
Smith, Pavin,656976,2021,25,498,545,133,91,27,4,11,106,42,19.4,7.7,.267,.404,.328,.732,49,1,145,4,68,1,0,,.257,.399,.318,.315,.321,.142,87.2,9,33.6,5.1,47.8,22.4,23.4,6.4,26.5,
Verdugo, Alex,657077,2021,25,544,604,157,110,32,2,13,96,51,15.9,8.4,.289,.426,.351,.777,63,6,146,4,88,5,1,,.285,.446,.334,.342,.348,.161,90,7.7,34.9,7.3,50.3,21,24.3,4.4,27.0,
Moncada, Yoan,660162,2021,26,520,616,137,89,33,1,14,157,84,25.5,13.6,.263,.412,.375,.787,61,3,144,10,74,3,0,,.258,.422,.347,.350,.371,.163,90.1,11.3,40,8.2,44.1,20.3,31,4.7,27.7,
Ohtani, Shohei,660271,2021,27,537,639,138,58,26,8,46,189,96,29.6,15.0,.257,.592,.372,.965,100,26,155,4,103,24,1,,.267,.607,.393,.407,.382,.340,93.6,16.8,35.4,22.3,39.7,34.6,20.9,4.9,28.8,
Riley, Austin,663586,2021,24,590,662,179,112,33,1,33,168,52,25.4,7.9,.303,.531,.367,.898,107,0,160,12,91,0,0,,.279,.507,.379,.363,.346,.229,90.2,14.1,36.3,13.3,38.8,24.9,28.6,7.7,27.8,
Mountcastle, Ryan,663624,2021,24,534,586,136,79,23,1,33,161,41,27.5,7.0,.255,.487,.309,.796,89,4,144,4,77,4,0,,.245,.457,.335,.326,.303,.212,89.1,16.3,38.9,11.8,35.5,33.9,24.7,5.8,28.1,
Tucker, Kyle,663656,2021,24,506,567,149,79,37,3,30,90,53,15.9,9.3,.294,.557,.358,.915,92,14,140,1,83,13,1,,.307,.580,.383,.400,.372,.273,91.4,17.6,42,11.6,34,33.5,27.1,5.5,27.4,
India, Jonathan,663697,2021,25,532,631,143,86,34,2,21,141,71,22.3,11.3,.269,.459,.376,.834,69,12,150,23,98,7,5,,.259,.441,.363,.355,.368,.182,87.6,13,33.6,9.6,44.9,26.3,22.7,6.1,28.5,
Grisham, Trent,663757,2021,25,462,527,112,66,28,3,15,119,54,22.6,10.2,.242,.413,.326,.740,62,13,132,6,61,13,0,,.241,.368,.320,.309,.328,.127,88.8,12.3,31,5.2,42,23.3,26.4,8.3,28.8,
